model,effect,metric,value,n,q
refit,y,var,0.0061265528202056885,1600,64
refit,fx,mspe,0.00782553106546402,1600,64
refit,fx,bias2,0.0025617098435759544,1600,64
refit,fx,var,0.005263821687549353,1600,64
refit,fr,mspe,0.03333288058638573,1600,64
refit,fr,bias2,0.028069056570529938,1600,64
refit,fr,var,0.005263821687549353,1600,64
refit,fz,mspe,0.0028096185997128487,1600,64
refit,fz,bias2,0.0003717200015671551,1600,64
refit,fz,var,0.002437898889183998,1600,64
refit_orth,y,mspe,1.0123764276504517,1600,64
refit_orth,y,bias2,1.0061638355255127,1600,64
refit_orth,y,var,0.006212606560438871,1600,64
refit_orth,fx,mspe,0.026574110612273216,1600,64
refit_orth,fx,bias2,0.022350599989295006,1600,64
refit_orth,fx,var,0.004223512019962072,1600,64
refit_orth,fr,mspe,0.006333293858915567,1600,64
refit_orth,fr,bias2,0.0021097820717841387,1600,64
refit_orth,fr,var,0.004223512019962072,1600,64
refit_orth,fz,mspe,0.02218880131840706,1600,64
refit_orth,fz,bias2,0.02090304344892502,1600,64
refit_orth,fz,var,0.001285757403820753,1600,64
refit,y,mspe,1.0126502513885498,1600,8
refit,y,bias2,1.0064886808395386,1600,8
refit,y,var,0.006161686033010483,1600,8
refit,fx,mspe,0.008161526173353195,1600,8
refit,fx,bias2,0.0027141605969518423,1600,8
refit,fx,var,0.005447364877909422,1600,8
refit,fr,mspe,0.03416450694203377,1600,8
refit,fr,bias2,0.02871714159846306,1600,8
refit,fr,var,0.005447364877909422,1600,8
refit,fz,mspe,0.0030166488140821457,1600,8
refit,fz,bias2,0.0004216768720652908,1600,8
refit,fz,var,0.002594971563667059,1600,8
refit_orth,y,mspe,1.0126447677612305,1600,8
refit_orth,y,bias2,1.0064769983291626,1600,8
refit_orth,y,var,0.006167684216052294,1600,8
refit_orth,fx,mspe,0.026440486311912537,1600,8
refit_orth,fx,bias2,0.022266121581196785,1600,8
refit_orth,fx,var,0.004174363799393177,1600,8
refit_orth,fr,mspe,0.00634717708453536,1600,8
refit_orth,fr,bias2,0.0021728130523115396,1600,8
refit_orth,fr,var,0.004174363799393177,1600,8
refit_orth,fz,mspe,0.022188816219568253,1600,8
refit_orth,fz,bias2,0.020903052762150764,1600,8
refit_orth,fz,var,0.0012857599649578333,1600,8
refit,y,mspe,1.0037777423858643,25600,1024
refit,y,bias2,1.0025990009307861,25600,1024
refit,y,var,0.0011786491377279162,25600,1024
refit,fx,mspe,0.0014954016078263521,25600,1024
refit,fx,bias2,0.00023424690880347043,25600,1024
