method,N,seed,mspe_y,mspe_fx,mspe_fz,corr_fx_z,b_z_hat,val_loss
oracle_ovb,3200,1,0.9749464392662048,0.07356739044189453,0.08104897290468216,0.7116687731070692,nan,nan
oracle_ovb,3200,6,0.9788032174110413,0.0693831592798233,0.08104897290468216,0.7358739459598367,nan,nan
oracle_ovb,3200,4,0.9720945954322815,0.07715152204036713,0.08104897290468216,0.7040954311282409,nan,nan
oracle_ovb,3200,8,0.9743595719337463,0.09115824848413467,0.08104897290468216,0.7204785115095765,nan,nan
oracle_ovb,3200,5,0.9734621047973633,0.08991382271051407,0.08104897290468216,0.7293093969985746,nan,nan
oracle_ovb,3200,3,0.9776347279548645,0.09250800311565399,0.08104897290468216,0.7557157505681323,nan,nan
oracle_ovb,3200,7,0.9690355062484741,0.0650157630443573,0.08104897290468216,0.6729420932954667,nan,nan
oracle_ovb,3200,9,0.9733283519744873,0.08991362899541855,0.08104897290468216,0.7278363383480152,nan,nan
oracle_ovb,6400,0,0.9720399975776672,0.08511185646057129,0.08104897290468216,0.7085025040575933,nan,nan
oracle_ovb,6400,1,0.9707664251327515,0.07519533485174179,0.08104897290468216,0.7035360229130049,nan,nan
oracle_ovb,6400,3,0.9751539826393127,0.07325295358896255,0.08104897290468216,0.7289235027454917,nan,nan
oracle_ovb,6400,4,0.9737886190414429,0.08125308156013489,0.08104897290468216,0.7278278481842755,nan,nan
oracle_ovb,6400,7,0.9706918597221375,0.07821657508611679,0.08104897290468216,0.6991397614468973,nan,nan
oracle_ovb,6400,6,0.9753219485282898,0.07601676881313324,0.08104897290468216,0.7209151973577396,nan,nan
oracle_ovb,6400,2,0.9745398163795471,0.07838547229766846,0.08104897290468216,0.7301308372165596,nan,nan
oracle_ovb,6400,5,0.9742836952209473,0.08497307449579239,0.08104897290468216,0.7332100792346735,nan,nan
oracle_ovb,6400,8,0.9704662561416626,0.07149519771337509,0.08104897290468216,0.6952553374689795,nan,nan
oracle_ovb,6400,9,0.9722976088523865,0.07471182942390442,0.08104897290468216,0.7071001593983165,nan,nan
oracle_ovb,12800,0,0.9717808961868286,0.07485092431306839,0.08104897290468216,0.7077355751459287,nan,nan
oracle_ovb,12800,6,0.9737579226493835,0.07631862163543701,0.08104897290468216,0.7206791489179459,nan,nan
oracle_ovb,12800,2,0.9721601009368896,0.07479580491781235,0.08104897290468216,0.7097534957855242,nan,nan
oracle_ovb,12800,3,0.9704257249832153,0.07272879034280777,0.08104897290468216,0.6948479286477026,nan,nan
