setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig4a_q4,4,posthoc_same_sample,0.03780120611190796,0.10898994654417038,1.0196547508239746,-0.004484014585614204,0.2234000712633133,1600,continuous,4,1.0,0.8
fig4a_q4,5,base_full,0.08602781593799591,0.18292874097824097,1.0208311080932617,0.03222203627228737,0.25931254029273987,1600,continuous,4,1.0,0.8
fig4a_q4,5,base_half,0.08949735760688782,0.1854502558708191,1.0214382410049438,0.012415851466357708,0.23065833747386932,1600,continuous,4,1.0,0.8
fig4a_q4,5,posthoc,0.06535220891237259,0.14384065568447113,1.0308619737625122,0.07689762115478516,0.18192332983016968,1600,continuous,4,1.0,0.8
fig4a_q4,5,posthoc_same_sample,0.052546702325344086,0.12943428754806519,1.0192842483520508,0.027160629630088806,0.18395040929317474,1600,continuous,4,1.0,0.8
fig4a_q4,6,base_full,0.05053992196917534,0.13002842664718628,1.0204964876174927,-0.0007758903666399419,0.21266506612300873,1600,continuous,4,1.0,0.8
fig4a_q4,6,base_half,0.04749269410967827,0.12556713819503784,1.025904893875122,-0.007553188595920801,0.2185254991054535,1600,continuous,4,1.0,0.8
fig4a_q4,6,posthoc,0.04550245404243469,0.12226623296737671,1.0146417617797852,0.008387884125113487,0.21334487199783325,1600,continuous,4,1.0,0.8
fig4a_q4,6,posthoc_same_sample,0.035325828939676285,0.10441423207521439,1.0283000469207764,0.0009342264966107905,0.19539789855480194,1600,continuous,4,1.0,0.8
fig4a_q4,7,base_full,0.08119645714759827,0.1767997294664383,1.017317295074463,0.0033183873165398836,0.25588974356651306,1600,continuous,4,1.0,0.8
fig4a_q4,7,base_half,0.06342771649360657,0.14671875536441803,1.0264594554901123,0.02064349874854088,0.20214848220348358,1600,continuous,4,1.0,0.8
fig4a_q4,7,posthoc,0.023338627070188522,0.07790058851242065,1.0088279247283936,-0.003321173833683133,0.13887786865234375,1600,continuous,4,1.0,0.8
fig4a_q4,7,posthoc_same_sample,0.010952848941087723,0.05276671424508095,1.0114439725875854,0.0013742035953328013,0.13425250351428986,1600,continuous,4,1.0,0.8
fig4a_q4,8,base_full,0.0823039710521698,0.17667968571186066,1.0217071771621704,0.004077385179698467,0.25680306553840637,1600,continuous,4,1.0,0.8
fig4a_q4,8,base_half,0.09588157385587692,0.19769690930843353,1.0194209814071655,0.03697826713323593,0.2837573289871216,1600,continuous,4,1.0,0.8
fig4a_q4,8,posthoc,0.04981216415762901,0.12086392194032669,1.0234755277633667,-0.02724318578839302,0.19894574582576752,1600,continuous,4,1.0,0.8
fig4a_q4,8,posthoc_same_sample,0.008901417255401611,0.04344071075320244,1.0067732334136963,-0.0033629650715738535,0.12766993045806885,1600,continuous,4,1.0,0.8
fig4a_q4,9,base_full,0.064254030585289,0.15093185007572174,1.0225815773010254,-0.008459914475679398,0.24768081307411194,1600,continuous,4,1.0,0.8
fig4a_q4,9,base_half,0.035449493676424026,0.10184082388877869,1.030137062072754,-0.01727258414030075,0.1653333604335785,1600,continuous,4,1.0,0.8
fig4a_q4,9,posthoc,0.03733902424573898,0.007644149474799633,1.0177292823791504,0.005062623415142298,0.0909392461180687,1600,continuous,4,1.0,0.8
fig4a_q4,9,posthoc_same_sample,0.03218839317560196,0.09784898906946182,1.0176018476486206,-0.004311512224376202,0.20607103407382965,1600,continuous,4,1.0,0.8
fig4a_q32,0,base_full,0.06904342770576477,0.15858758985996246,1.0212610960006714,0.01548002753406763,0.2804214060306549,1600,continuous,32,1.0,0.8
fig4a_q32,0,base_half,0.10322761535644531,0.20596641302108765,1.033332109451294,0.028395995497703552,0.3393700122833252,1600,continuous,32,1.0,0.8
fig4a_q32,0,posthoc,0.019273949787020683,0.07048384845256805,1.0200861692428589,0.02152901329100132,0.14549297094345093,1600,continuous,32,1.0,0.8
fig4a_q32,0,posthoc_same_sample,0.03325797989964485,0.10106058418750763,1.013960838317871,0.0125576201826334,0.18749728798866272,1600,continuous,32,1.0,0.8
fig4a_q32,1,base_full,0.11511936038732529,0.2231084406375885,1.0265796184539795,0.014463690109550953,0.3070615231990814,1600,continuous,32,1.0,0.8
fig4a_q32,1,base_half,0.12140369415283203,0.23168307542800903,1.0309194326400757,-0.0031807804480195045,0.3369442820549011,1600,continuous,32,1.0,0.8
fig4a_q32,1,posthoc,0.014734204858541489,0.05056016892194748,1.0113258361816406,0.010916795581579208,0.10005554556846619,1600,continuous,32,1.0,0.8
fig4a_q32,1,posthoc_same_sample,0.019356105476617813,0.05893893167376518,1.0260326862335205,0.015332895331084728,0.14273181557655334,1600,continuous,32,1.0,0.8
fig4a_q32,2,base_full,0.057807836681604385,0.14046905934810638,1.0280817747116089,0.033893242478370667,0.2605079412460327,1600,continuous,32,1.0,0.8
fig4a_q32,2,base_half,0.057258300483226776,0.1379740685224533,1.0299839973449707,0.035562023520469666,0.2584347724914551,1600,continuous,32,1.0,0.8
fig4a_q32,2,posthoc,0.022278152406215668,0.05650411918759346,1.0165404081344604,0.026855284348130226,0.07311584800481796,1600,continuous,32,1.0,0.8
